course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,tip
BIOENG-399,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunoengineering-BIOENG-399,Immunoengineering,4 (5),4.2,2.2,1.8 (4),['Tang'],Don’t wait until the last moment to write the scientific essay (30%) and there are quite a few things to learn by heart for the exam but the exam itself isn’t hard and it’s pretty short.
BIOENG-399,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunoengineering-BIOENG-399,Immunoengineering,4 (5),4.2,2.2,1.8 (4),['Tang'],Do not wait until the last week to write your essay.
BIOENG-399,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunoengineering-BIOENG-399,Immunoengineering,4 (5),4.2,2.2,1.8 (4),['Tang'],Do not wait until the last week to write your essay.
BIOENG-404,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/analysis-and-modelling-of-locomotion-BIOENG-404,Analysis and modelling of locomotion,4 (1),5,3,4 (4),"['Aminian', 'Courtine', 'Ijspeert']","No need to go to the lectures, you better sleep."
BIOENG-404,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/analysis-and-modelling-of-locomotion-BIOENG-404,Analysis and modelling of locomotion,4 (1),5,3,4 (4),"['Aminian', 'Courtine', 'Ijspeert']","No need to go to the lectures, you better sleep."
BIOENG-430,https://edu.epfl.ch/studyplan/en/master/chemical-engineering-and-biotechnology/coursebook/selected-topics-in-life-sciences-BIOENG-430,Selected topics in life sciences,5 (2),4.5,2.5,3 (3),['Lashuel'],Visiting the lectures is mandatory but worth it. Start early with your semester assignemnt and you will have most of the work done before the semester ends.
BIOENG-430,https://edu.epfl.ch/studyplan/en/master/chemical-engineering-and-biotechnology/coursebook/selected-topics-in-life-sciences-BIOENG-430,Selected topics in life sciences,5 (2),4.5,2.5,3 (3),['Lashuel'],"Pretty manageable. Weekly assignments that are straightforward after the lectures, one simple Q&A prep, and two presentations that needs some research"
BIOENG-430,https://edu.epfl.ch/studyplan/en/master/chemical-engineering-and-biotechnology/coursebook/selected-topics-in-life-sciences-BIOENG-430,Selected topics in life sciences,5 (2),4.5,2.5,3 (3),['Lashuel'],"Pretty manageable. Weekly assignments that are straightforward after the lectures, one simple Q&A prep, and two presentations that needs some research"
BIOENG-444,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/advanced-bioengineering-methods-laboratory-BIOENG-444,Advanced bioengineering methods laboratory,4 (1),3,3,4 (4),"['Fantner', 'Guiducci', 'Radenovic']","After testing the three different techniques, you have to choose the one you preferred. Then run some experiments and write a paper about it. It is a good exercise, but it can take a lot of time, so choose the assistant and technique wisely."
BIOENG-444,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/advanced-bioengineering-methods-laboratory-BIOENG-444,Advanced bioengineering methods laboratory,4 (1),3,3,4 (4),"['Fantner', 'Guiducci', 'Radenovic']","After testing the three different techniques, you have to choose the one you preferred. Then run some experiments and write a paper about it. It is a good exercise, but it can take a lot of time, so choose the assistant and technique wisely."
